,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Noho uses [HP Alteration], [Fixed DMG] and [Burn].

Use [Barrier] right before Noho uses [HP Alteration] to make sure that you can tank the DMG that follows it. Ideally, the [Barrier] also tanks the next skill that has [Fixed DMG]. 

[Heal] right after [HP Alteration].
i.e. [Barrier] > [Noho HP Alteration] > [Heal] > [Noho Burn]"
,,,,EVAN-T0,,YUI-T0,,BISCUIT-T0,,LINA-T0,,PASCAL-T0,,,,,,EVAN-T0,,ASURA-T0,,YUI-T0,,LINA-T0,,SHANE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VELIKA-T0,,YUI-T0,,BISCUIT-T0,,LINA-T0,,PASCAL-T0,,,,,,VELIKA-T0,,ASURA-T0,,YUI-T0,,LINA-T0,,KYLE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EVAN-T0,,YUI-T0,,BISCUIT-T0,,LINA-T0,,PASCAL-T0,,,,,,XIAO-T0,,KAGURA-T0,,BISCUIT-T0,,LU BU-T0,,BAI LONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURRENT FLOOR: -,,,SPIKE,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Freeze Immunity (always active)

[Enemies] Weakens enemies",,,,,,,"[Enemies] Grants Life Drain (always active)
Recovers HP equal to 100% of DMG

[Enemies] Strengthen enemies",,,,,,,,"- Grants Effect Hit Rate Boost (by 49%) & Guts
- Inflicts Freeze, Buff Duration Reduction, Absolute Zero: Freeze
- Grants All Debuff Removal upon using a basic attack
- Grants 1 stack of DMG Boost for each debuff removed (max 50stacks)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants Ignore DEF (always active)
Ignores 20% of target's DEF

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,SPIKE-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Enemies] Grants Incoming Healing Boost (always active)
Increases Incoming Healing by 36%

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Spike] Skill 2 HP Condition Increases
HP condition for [Icequake] will be changed to 50% or less

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Freeze Immunity - Feng Yan, Lania

Spike deals heavy debuffs if his skills hit any of your units to below a certain HP threshold. He also heals on hit. Make sure front line have Block Rate armour and defensive substats.

[Barrier] helps to tank the damage. Spike does not heal upon damaging [Barrier].

Do not debuff Spike. Yui is ill-advised because a debuff is attached to her basic attack. Keep all units' HP above 30%

Frontline Li tanks Spike's ST skill that spreads dmg to entire row, reducing Spike's Life Drain."
,,,,BISCUIT-T0,,ESPADA-T0,,EVAN-T0,,LINA-T0,,PASCAL-T0,,,,,,VELIKA-T0,,BISCUIT-T0,,EVAN-T0,,LINA-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,KARON-T0,,EVAN-T0,,LINA-T0,,PASCAL-T0,,,,,,FENG YAN-T0,,VELIKA-T0,,EVAN-SE,,LINA-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FENG YAN-T0,,BISCUIT-T0,,EVAN-T0,,LINA-T0,,PASCAL-T0,,,,,,FENG YAN-T0,,VELIKA-T0,,REGINLEIF-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURRENT FLOOR: -,,,KAGURA,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Petrify Immunity (always active)

[Enemies] Weakens enemies",,,,,,,"[Enemies] Grants MAX HP Boost
Increases Max HP by 100%

[Enemies] Strengthen enemies",,,,,,,,"Kagura has 66% Crit Rate; having Block Rate will help mitigate DMG alot

Kagura deals more DMG when she has DMG Immunity so make sure to remove it ASAP with Rudy's skill"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants DEF Boost
Increases DEF by 54%

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,KAGURA-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] 50% chance to inflict Poison upon using a basic attack (2 turns)

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants DMG Boost
Increases DMG by 28%

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Having Velika's Basic attack enhanced will helps alot with sync-ing Rudy's cooldown with Kagura's skills. Still do-able without enhance

If sustain is an issue, hike up WK's ATK for more heals. Yeonji pet

Daisy gives Barrier after casting 2 skills; prep her Barrier by holding off 1 skill for emergency Barrier

Consider NOT using skills to manipulate skill cooldown (i.e. if you think not using a skill can make Kagura miss using her own skill so that you have more time to cooldown Rudy's skill)
"
,,,,LINA-T0,,BISCUIT-T0,,BRANZE&BRANSEL-T0,,KYLE-T0,,SUNWUKONG-T0,,,,,,ELYSIA-T0,,DAISY-T0,,RUDY-T0,,VELIKA-T0,,SUNWUKONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BAI JIAO-T0,,LINA-T0,,RUDY-T0,,TEO-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,DAISY-T0,,RUDY-T0,,VELIKA-T0,,SUNWUKONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,LINA-T0,,DAISY-T0,,ELYSIA-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,SUNWUKONG-T0,,RUDY-T0,,VELIKA-T0,,DAISY-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURRENT FLOOR: -,,,PLATIN,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Crit Rate Boost (always active)

[Enemies] Weakens enemies",,,,,,,"[Enemies] Increases Block Damage Reduction (always active)
Increases DMG Reduction by 30% upon successfully blocking

[Enemies] Strengthen enemies",,,,,,,,"- Heals HP equal to 25% of caster's MAXHP when HP falls to 75%, 50%, and 25% or lower (once per battle)
- Deals Fixed, Piercing DMG equal to 1000 upon successfully blocking 1 time
- Alters HP
"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Platin] Changes number of targets for Skill 2
Changers numbers of targets for [Otherworldly Light] to 4 enemies
[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,PLATIN-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Inflicts Block Rate Reduction (always active)

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Platin] Passive Fixed DMG increases
Fixed DMG becaomes 1500

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In order to prevent blocking, your units need to crit. This means your entire team, including your supports, need to have high enough, or 100% total Crit Rate. 

Make sure to inflict [Unable to Recover] before dropping his HP below each threshold of 75%, 50% and 25%. Heal after every HP Alteration.

Both Chloe and Catty can buff your party with [Crit Rate Boost] and inflict [Unable to Recover]. Catty is preferred because she can also inflict [Block Rate Reduction], reducing your party's Crit Rate requirement."
,,,,CHLOE-T0,,KARON-T0,,LINA-T0,,BISCUIT-T0,,PASCAL-T0,,,,,,CATTY-T0,,KARON-T0,,LINA-T0,,BISCUIT-T0,,SHANE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CHLOE-T0,,ALICE-T0,,LINA-T0,,BISCUIT-T0,,SHANE-T0,,,,,,CATTY-T0,,ALICE-T0,,LINA-T0,,BISCUIT-T0,,KYLE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CATTY-T0,,ALICE-T0,,LINA-T0,,BISCUIT-T0,,SHANE-T0,,,,,,CATTY-T0,,XIAO-T0,,LU BU-T0,,BISCUIT-T0,,BAI LONG-T0,,,,,,,,
